Date,Title,Rating,Link,link_type,Edits (because I don't know how to follow a recipe),Tags
,Smash Burgers,9.5,https://www.seriouseats.com/recipes/2014/03/ultra-smashed-cheeseburger-recipe-food-lab.html,web,,
,Sambal Pork Ramen,8,https://www.bonappetit.com/recipe/spicy-sweet-sambal-pork-noodles,web,,
,Mushroom Carbonara,9,https://www.bonappetit.com/recipe/mushroom-carbonara,web,,
,Chicken Saltimbocca,9.5,https://www.halfbakedharvest.com/basil-chicken-saltimbocca/,web,,
,Lamb Burgers,9.5,https://www.bonappetit.com/recipe/lamb-burgers-with-lemon-caper-aioli-and-fennel-slaw,web,"no Boquerones, top with feta",
,Salmon with Salsa Verde,8.5,https://www.bonappetit.com/recipe/roasted-salmon-salsa-verde,web,,
,Meatballs with Salsa Verde,7.5,https://www.bonappetit.com/recipe/crispy-sheet-pan-meatballs-with-salsa-verde,web,,
,Pumpkin Breakfast Cookies,5,https://www.feastingonfruit.com/pumpkin-breakfast-cookies/,web,,
,Parmasean Chicken with Lemon Arugula,8,https://www.howsweeteats.com/2019/06/crispy-baked-parmesan-chicken-with-lemon-arugula/,web,,
,Creamy Lemon Butter Orzo,8.5,https://www.halfbakedharvest.com/souper-creamy-lemon-butter-cheesy-zucchini-orzo/,web,reduce thyme amount,
1/1/20,Cinnamon French Toast Bake,9,https://tasty.co/recipe/cinnamon-roll-french-toast-bake,web,"only 4 eggs, only 1/2 cup of maple syrup, cook longer",
1/1/20,Al Pastor,6,https://tasty.co/recipe/mexican-style-pork-tacos-tacos-al-pastor,web,,
1/1/20,Lou Malnatis (Copycat) Salad,8.8,https://www.foodtasticmom.com/copycat-lou-malnatis-salad/,web,,
1/1/20,Chicken Curry,6,https://www.cookingclassy.com/chicken-curry/,web,,
1/1/20,Drunken Noodles,8,https://www.foodnetwork.com/recipes/my-famous-drunken-noodles-3827989,web,,
1/1/20,Chicken Shawarma,9.5,https://toriavey.com/toris-kitchen/chicken-shawarma/,web,didn’t include allspice ,
1/1/20,Kung Pao Chicken,8.5,https://www.recipetineats.com/kung-pao-chicken/,web,,
1/1/20,Harissa Chicken with Potatoes and Leeks,7.8,https://food52.com/recipes/68405-harissa-chicken-with-leeks-potatoes-and-yogurt,web,,
1/1/20,Lamb Shank Ravioli,9,https://www.bonappetit.com/recipe/braised-lamb-shank-ravioli,web,used wonton wrappers instead of fresh dough,
1/1/20,Tom Kha Gai Soup,8.5,https://40aprons.com/tom-kha-soup-whole30/,web,added shrimp,whole30
1/1/20,BBQ Turkey Meatloaf,,https://www.onceuponachef.com/recipes/bbq-turkey-meatloaf.html,web,,
1/1/20,Lemon Chicken Piccata,,https://www.paleorunningmomma.com/lemon-chicken-piccata-whole30-keto/,web,,"Paleo, Whole30, Keto"
4/16/19,Lemon Orzo Chicken,8.5,https://emilybites.com/2017/03/lemon-chicken-orzo-with-tomatoes-and-asparagus.html,web,added zuchini,
4/16/19,Honey Soy Salmon,7,https://tasty.co/recipe/honey-soy-glazed-salmon,web,,
3/30/19,Salmon with Potatoes and Herbed Yogurt,9,https://www.bonappetit.com/recipe/roasted-salmon-with-potatoes-and-herbed-creme-fraiche,web,"boiled potatoes in vinegar mixture and then roasted to crisp, sub greek yogurt for crème fraiche, baked salmon with asparagus",
3/30/19,Lamb meatballs raisin pesto,8.5,https://www.bonappetit.com/recipe/spicy-lamb-meatballs-with-raisin-pesto,web,subbed sugar for raisins ,
3/30/19,Crunchy Saffron Rice,9.5,https://www.bonappetit.com/recipe/crunchy-baked-saffron-rice-with-barberries,web,sub tart cherries for barberries,
3/30/19,Cabbage Salad ,8,https://www.bonappetit.com/recipe/napa-cabbage-salad-with-parmesan-and-pistachios,web,added grilled shrimp,
3/11/19,Chicken Bacon Lettuce Wraps,7.5,https://www.skinnytaste.com/chicken-club-lettuce-wrap-sandwich/,web,,
3/11/19,Kale Feta Fritatta,8.5,https://www.theroastedroot.net/collard-greens-feta-mushroom-frittata/,web,"added bacon, subbed kale for greens",
11-Mar,Potato egg salad,8,https://spicysouthernkitchen.com/southern-potato-salad/,web,boiled potatoes in vinegar mixture ,
2/24/19,Greek meatballs lemon dill rice,7.5,https://www.dinneratthezoo.com/one-pot-greek-meatballs-with-lemon-dill-rice/,web,sub lamb,
2/24/19,Thai carrot ginger soup,7.5,https://www.theroastedroot.net/thai-carrot-ginger-soup/,web,added grilled shrimp,
2/20/19,Artisan bread (no-knead),9.5,http://www.theclevercarrot.com/2013/03/no-knead-artisan-bread/,web,,"bread, ricotta"
2/17/19,Ropa vieja (slow cooker),8.5,https://www.theroastedroot.net/slow-cooker-ropa-vieja-cuban-shredded-beef-w-instant-pot-option/,web,dressed with additional lime and/or vinegar at end ,"cuban, stew"
2/14/19,Pasta al limone,9.5,https://www.bonappetit.com/recipe/pasta-al-limone,web,,lemon
2/10/19,Chinese dumplings,9.5,https://www.allrecipes.com/recipe/228052/chinese-pork-dumplings/,web,added about 1/4 cup of diced mushrooms and cabbage; steamed then fried,"asian, lunar new year"
2/10/19,Sweet sesame crisps,6,https://thewoksoflife.com/2014/04/sweet-sesame-crisps/,web,,
2/13/19,Mediterranean salmon,8.5,https://www.theroastedroot.net/mediterranean-salmon-in-parchment-paper/,web,"added diced potatoes, should have used fewer sundried tomatoes ",
2/13/19,Chocolate vinegar cake,9.5,https://www.bonappetit.com/test-kitchen/inside-our-kitchen/article/chocolate-vinegar-cake-recipe,web,,
2/9/19,Blue Apron: Mexican-Spiced Shrimp,7.8,,NA,,mexican
